Domain,Category,Mode
clients2.google.com,TRACKER_VIOLATION,accept
accounts.google.com,TRACKER_VIOLATION,accept
www.google.com,TRACKER_VIOLATION,accept
static01.nyt.com,TRACKER_VIOLATION,accept
g1.nyt.com,TRACKER_VIOLATION,accept
www.datadoghq-browser-agent.com,TRACKER_VIOLATION,accept
www.googletagmanager.com,TRACKER_VIOLATION,accept
pagead2.googlesyndication.com,TRACKER_VIOLATION,accept
vp.nyt.com,TRACKER_VIOLATION,accept
pay.google.com,TRACKER_VIOLATION,accept
google.com,TRACKER_VIOLATION,accept
www.gstatic.com,INFRA_CDN,accept
a1.nyt.com,TRACKER_VIOLATION,accept
optimizationguide-pa.googleapis.com,INFRA_CDN,accept
play.google.com,TRACKER_VIOLATION,accept
android.clients.google.com,TRACKER_VIOLATION,accept
cm.g.doubleclick.net,TRACKER_VIOLATION,accept
securepubads.g.doubleclick.net,TRACKER_VIOLATION,accept
ep1.adtrafficquality.google,TRACKER_VIOLATION,accept
8d6cd6d2bffc002d91c191e4ac5ce8d5.safeframe.googlesyndication.com,TRACKER_VIOLATION,accept
ep2.adtrafficquality.google,TRACKER_VIOLATION,accept
tpc.googlesyndication.com,TRACKER_VIOLATION,accept
fonts.googleapis.com,INFRA_CDN,accept
fonts.gstatic.com,INFRA_CDN,accept
www.googleadservices.com,TRACKER_VIOLATION,accept
cdn.doubleverify.com,TRACKER_VIOLATION,accept
nyt-dti-prd-staticjs.storage.googleapis.com,INFRA_CDN,accept
tps.doubleverify.com,TRACKER_VIOLATION,accept
www.googletagservices.com,TRACKER_VIOLATION,accept
tpsc-ae1.doubleverify.com,TRACKER_VIOLATION,accept
