Domain,Category,Mode
clients2.google.com,POTENTIAL_TRACKER,reject
accounts.google.com,POTENTIAL_TRACKER,reject
www.google.com,POTENTIAL_TRACKER,reject
static01.nyt.com,SOCIAL,reject
g1.nyt.com,SOCIAL,reject
static.chartbeat.com,ANALYTICS,reject
www.googletagmanager.com,POTENTIAL_TRACKER,reject
pagead2.googlesyndication.com,POTENTIAL_TRACKER,reject
www.datadoghq-browser-agent.com,SOCIAL,reject
mab.chartbeat.com,ANALYTICS,reject
vp.nyt.com,SOCIAL,reject
pay.google.com,POTENTIAL_TRACKER,reject
google.com,POTENTIAL_TRACKER,reject
www.gstatic.com,INFRA_CDN,reject
a1.nyt.com,SOCIAL,reject
play.google.com,POTENTIAL_TRACKER,reject
optimizationguide-pa.googleapis.com,INFRA_CDN,reject
android.clients.google.com,POTENTIAL_TRACKER,reject
ep1.adtrafficquality.google,POTENTIAL_TRACKER,reject
28287d6c1428d7f1bacf52ebc1db9c94.safeframe.googlesyndication.com,POTENTIAL_TRACKER,reject
ep2.adtrafficquality.google,POTENTIAL_TRACKER,reject
